Air Force,AFA,1
Akron,AKR,1
Alabama,ALA,1
Appalachian St.,APP,1
Arizona,ARIZ,1
Arizona St.,ASU,1
Arkansas,ARK,1
Arkansas St.,ARST,1
Army West Point,ARMY,1
Auburn,AUB,1
Ball St.,BALL,1
Baylor,BAY,1
Boise St.,BSU,1
Boston College,BC,1
Bowling Green,BGSU,1
Buffalo,BUFF,1
BYU,BYU,1
California,CAL,1
Central Mich.,CMU,1
Charlotte,CHAR,1
Cincinnati,CIN,1
Clemson,CLEM,1
Colorado,COLO,1
Colorado St.,CSU,1
Duke,DUKE,1
East Carolina,ECU,1
Eastern Mich.,EMU,1
FIU,FIU,1
Fla. Atlantic,FAU,1
Florida,FLA,1
Florida St.,FSU,1
Fresno St.,FRES,1
Ga. Southern,GASO,1
Georgia,UGA,1
Georgia St.,GAST,1
Georgia Tech,GT,1
Hawaii,HAW,1
Houston,HBU,1
Idaho,IDHO,
Illinois,ILL,1
Indiana,IND,1
Iowa,IOWA,1
Iowa St.,ISU,1
Kansas,KU,1
Kansas St.,KSU,1
Kent St.,KENT,1
Kentucky,UK,1
La.-Monroe,ULM,1
Louisiana,ULL,1
Louisiana Tech,LT,1
Louisville,LOU,1
LSU,LSU,1
Marshall,MRSH,1
Maryland,MD,1
Memphis,MEM,1
Miami (FL),MIAMI,1
Miami (OH),M-OH,1
Michigan,MICH,1
Michigan St.,MSU,1
Middle Tenn.,MTSU,1
Minnesota,MINN,1
Mississippi St.,MSST,1
Missouri,MIZ,1
Navy,NAVY,1
Nebraska,NEB,1
Nevada,NEV,1
New Mexico,UNM,1
New Mexico St.,NMSU,1
North Carolina,UNC,1
North Carolina St.,NCST,
North Texas,UNT,1
Northern Ill.,NIU,1
Northwestern,NW,1
Notre Dame,ND,1
Ohio,OHIO,1
Ohio St.,OSU,1
Oklahoma,OKLA,1
Oklahoma St.,OKST,1
Old Dominion,ODU,1
Ole Miss,MISS,1
Oregon,ORE,1
Oregon St.,ORST,1
Penn St.,PSU,1
Pittsburgh,PITT,1
Purdue,PUR,1
Rice,RICE,1
Rutgers,RUTG,1
San Diego St.,SDSU,1
San Jose St.,SJSU,1
SMU,SMU,1
South Ala.,USA,1
South Carolina,SC,1
South Fla.,USF,1
Southern Miss.,USM,1
Stanford,STAN,1
Syracuse,SYR,1
TCU,TCU,1
Temple,TEM,1
Tennessee,TENN,1
Texas,TEX,1
Texas A&M,TA&M,1
Texas St.,TXST,1
Texas Tech,TTU,1
Toledo,TOL,1
Troy,TROY,1
Tulane,TULN,1
Tulsa,TLSA,1
UCF,UCF,1
UCLA,UCLA,1
UConn,CONN,1
UNLV,UNLV,1
Utah,UTAH,1
Utah St.,USU,1
UTEP,UTEP,1
UTSA,UTSA,1
Vanderbilt,VAN,1
Virginia,UVA,1
Virginia Tech,VT,1
Wake Forest,WAKE,1
Washington,WASH,1
Washington St.,WSU,1
West Virginia,WVU,1
Western Ky.,WKU,1
Western Mich.,WMU,1
Wisconsin,WIS,1
Wyoming,WYO,1
