Abilene Christian,ACU,1
Alabama A&M,AAMU,1
Alabama St.,ALST,1
Albany (NY),ALBY,1
Alcorn,ALCN,1
Ark.-Pine Bluff,UAPB,1
Austin Peay,PEAY,1
Bethune-Cookman,BCU,1
Brown,BRWN,1
Bryant,BRY,1
Bucknell,BUCK,1
Butler,BUT,1
Cal Poly,CP,1
Campbell,CAMP,1
Central Ark.,UCA,1
Central Conn. St.,CCSU,1
Charleston So.,CHSO,1
Chattanooga,CHAT,1
Colgate,COLG,1
Columbia,CLMB,1
Cornell,COR,1
Dartmouth,DART,1
Davidson,DAV,1
Dayton,DAY,1
Delaware,DEL,1
Delaware St.,DSU,1
Drake,DRKE,1
Duquesne,DUQ,1
Eastern Ill.,EIU,1
Eastern Ky.,EKY,1
Eastern Wash.,EWU,1
Elon,ELON,1
ETSU,ETSU,1
Florida A&M,FAMU,1
Fordham,FOR,1
Furman,FUR,1
Gardner-Webb,WEBB,1
Georgetown,GTWN,1
Grambling,GRAM,1
Hampton,HAMP,1
Harvard,HARV,1
Holy Cross,HC,1
Houston Baptist,HBU,1
Howard,HOW,1
Idaho St.,IDST,1
Illinois St.,ILST,1
Incarnate Word,IW,1
Indiana St.,INST,1
Jackson St.,JKST,1
Jacksonville,JAC,1
Jacksonville St.,JVST,1
James Madison,JMU,1
Kennesaw St.,KENN,1
Lafayette,LAF,1
Lamar University,LAM,1
Lehigh,LEH,1
Liberty,LIB,1
Maine,MAINE,1
Marist,MRST,1
McNeese,MCNS,1
Mercer,MER,1
Mississippi Val.,MVSU,1
Missouri St.,MOST,1
Monmouth,MONM,1
Montana,MONT,1
Montana St.,MTST,1
Morehead St.,MORE,1
Morgan St.,MORG,1
Murray St.,MURR,1
N.C. A&T,NCAT,1
N.C. Central,NCCU,1
New Hampshire,UNH,1
Nicholls St.,NICH,1
Norfolk St.,NSU,1
North Dakota,UND,1
North Dakota St.,NDSU,1
Northern Ariz.,NAU,1
Northern Colo.,UNCO,1
Northwestern St.,NWST,1
Penn,PENN,1
Portland St.,PRST,1
Prairie View,PVAM,1
Presbyterian,PRES,1
Princeton,PRIN,1
Rhode Island,URI,1
Richmond,RICH,1
Robert Morris,RMU,1
Sacramento St.,SAC,1
Sacred Heart,SHU,1
Saint Francis (PA),SFU,1
Sam Houston St.,SHSU,1
Samford,SAM,1
San Diego,USD,1
Savannah St.,SAV,1
SFA,SFA,1
South Carolina St.,SCST,1
South Dakota,SDAK,1
South Dakota St.,SDSU,1
Southeast Mo. St.,SEMO,1
Southeastern La.,SELA,1
Southern Ill.,SIU,1
Southern U.,SOU,1
Southern Utah,SUU,1
Stetson,STET,1
Stony Brook,STON,1
Tennessee St.,TNST,1
Tennessee Tech,TNTC,1
Texas Southern,TXSO,1
The Citadel,CIT,1
Towson,TOWS,1
UC Davis,UCD,1
UNI,UNI,1
UT Martin,UTM,1
Valparaiso,VALP,1
Villanova,NOVA,1
VMI,VMI,1
Wagner,WAG,1
Weber St.,WEB,1
Western Caro.,WCU,1
Western Ill.,WIU,1
William & Mary,W&M,1
Wofford,WOF,1
Yale,YALE,1
Youngstown St.,YSU,1
